headline,title,text
"
Create a restore point.,
Log on to an administrator account.,
Download a pre-made tool.,
Use the tool to disable caps lock.,
Restart your computer.,
Edit the registry manually.",How to Turn Off Caps Lock2," Disabling Caps Lock requires you to edit the Windows registry. A mistake in the registry could cause major problems, so create a backup before you begin. Type ""restore point"" in the search bar, click ""create a restore point,"" then follow the onscreen prompts.If your attempt to disable caps lock leads to issues, you can use the System Restore feature to return your computer to this restore point.


For more details, see these specific guides for Windows 7 and Windows 8.

, You will need an administrator account to make this change.

, Unfortunately, Microsoft's official tools will not allow you to change the Caps Lock key.However, there are third-party tools that can save you time and effort. A couple popular options are this AskVG tool and SharpKeys. Both of these are getting old, and may not work on newer operating systems.


A malicious tool could seriously harm your computer. Download from trustworthy sties only.

, The tool you downloaded might come with instructions in a text file, or on the website where you found it. Here's the process for the two examples mentioned above:


AskVG: Open ""Disable Caps Lock.reg"" and confirm that you want to run it.
SharpKeys: Open SharpKeys and click Add. Select ""Caps Lock"" in the left (Map this key), and ""Turn Key Off"" from the right column (To this key). Select OK, then Write to Registry, and confirm the change.

, You will need to restart your computer before the change takes effect.

, If you cannot find a trustworthy tool that works on your computer, you can make the change yourself. This is not recommended unless you have edited the registry before. The process is difficult and can cause problems for some users. Make sure you have a backup, then follow these instructions:Note — these instructions were written for Windows 7, but the process is similar for other modern versions of Windows.
Open ""regedit.exe""
Navigate to HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Control\Keyboard Layout using the folders in the left pane.
Right click ""Keyboard Layout"" and select ""New"" → ""Binary Value"" from the drop-down menu. A new object should appear with the type ""REG_BINARY.""
Rename this new object ""Scancode Map""
Right-click your new Scancode Map and select ""Modify.""
Change the Value Data field to exactly this series of numbers: 00000000 00000000 02000000 00003A00 00000000
Hit OK and close the registry editor.
Restart your computer.

"
"
Open System Preferences.,
Click the Keyboard icon.,
Select Modifier Keys.,
Change the Caps Lock key to No Action.",How to Turn Off Caps Lock3," You can find System Preferences from the Apple logo on the top menu. It is usually found in the Dock and Applications folder as well.

, If you don't see this, type ""keyboard"" into the System Preferences search bar and click the highlighted option.

, This button is in the lower right corner of the Keyboard options. Pressing it will open a pop-up window.

, Click the drop-down menu to the right of ""Caps Lock Key."" Select No Action, then OK. Caps Lock is now disabled.


If you want to undo this change, return to the same menu and click ""Restore Defaults"" in the lower left corner.

"
"
Sign into your ASUS WebStorage account.,
Go to the folder where you want to upload your files.,
Click on the “Upload” button from the header toolbar.,
Wait for the upload to finish.,
View the uploaded files.",How to Upload and Download Files on ASUS Webstorage1," Open any web browser on your computer, and go to ASUS WebStorage’s website.


Click on the “Sign in” button found at the upper right side of the page, and you will be brought to the login page.
Enter your ID and password in their respective fields then click on the “Sign in” button to continue.;
, Navigate through your main folders or directories by clicking on the folders on the left panel. You can also navigate through your files and folders by clicking on the individual folders.


If you need to create a new folder to store the files you’re going to upload, click on the “Create folder” button from the header toolbar. A small window will appear where you can type in the name of the new folder. Click on the “Create folder” button, and you will see your new folder created. Click on it to go inside the new folder.

, A small Upload window will appear where you can manage your uploads, which can be done two ways:



Uploading via the “Upload” button. Click on the “Upload file” button on the upper left corner. This will bring out your local computer’s file directory. Select the files you want to upload from your computer.
You can also drag-and-drop the files you want to upload from your computer directly into the Upload window.

, The files you’re uploading will be listed on the small Upload window with their corresponding progress bars. You can monitor the upload progress of all the files from here.

, When you’re done uploading your files, click on the X button on the upper right corner of the Upload window to exit it. You will now be able to see and access all the files you’ve just uploaded on ASUS WebStorage."
"
Locate the Norton icon in your System Tray.,
Right-click on the icon.,
Select the duration.,
Reenable protection.",How to Turn Off Norton Antivirus1," This is a collection of icons located in the bottom-right corner of your Windows desktop, next to the clock. These icons represent programs that are currently running. If you don't see the Norton icon, click the ""▴"" button to show all the hidden icons.;
, This will open a small menu of options. Select ""Disable Antivirus Auto-Protect"". This is the active part of Norton Antivirus. Disabling it will turn off active virus protection.

, You can choose to disable your antivirus protection for a specific amount of time, until your computer restarts, or permanently. It is not recommended that you browse the internet without active protection enabled.

, If you're finished performing the task that requires antivirus protection to be disabled, you can right-click on the Norton icon again and select ""Enable Antivirus Auto-Protect"".

"
"
Locate the Power button.,
Press and hold the Power button.,
Release the Power button.",How to Turn Off Kindle Paperwhite," The Power button is at the bottom-most part of the device beside the USB port.;
, Do this for about 5 to 7 seconds until the charge indicator light beside the Power button blinks.

, The screen will go blank after pressing and holding the Power button; as soon as the screen goes blank, release the Power button.

"
"
Open the Start menu.,
Type firewall into Start.,
Click Windows Firewall.,
Click Turn Windows Firewall on or off.,
Check the ""Turn off Windows Firewall (not recommended)"" option.,
Click OK.",How to Turn off Firewall1," To do this, you'll either click the Windows logo in the bottom-left corner of the screen, or you'll press the ⊞ Win key on your computer's keyboard.
, Since Start opens with your cursor in the search bar by default, doing so will search your computer for the firewall program., It's an image of a brick wall with a globe behind it; you'll see this option at the top of the Start menu's search window., This link is on the left side of the page., You can do this for both the ""Private"" and the ""Public"" network settings categories.

You may first have to confirm that you wish to perform this action by clicking OK or Yes on a pop-up window.

, It's at the bottom of the page. Doing so will disable your computer's firewall."
"
Find or buy a removable hard drive that is compatible with your PC.,
Use a small USB flash drive, if you want to transfer under 64 gigabytes (GB) worth of files to a different computer.,
Connect the drive.,
Click on the Start menu on your Windows desktop.,
Drag the removable drive window and the file folder window side by side.,
Click on the folder you want to transfer.,
Drag it to the removable drive window.,
Repeat the procedure until all the files you want to transfer are copied to the removable drive.

,
Go to the removable drive window.,
Plug the removable drive into the other PC using a USB cord or drive.,
Drag the files onto your desktop or into a folder on your computer.",How to Transfer Files from PC to PC1," Small hard drives up to 1 terabyte are available online and in most electronics departments at large box stores.


It is best to keep a removable hard drive for backing up files, if you don’t have a cloud storage provider.
Refrain from using the same backup drive as a way to occasionally transfer files from computer to computer.
If you use cloud backup, check to see if you can download your files onto another computer by signing into a new computer. Some programs may not have this capability, while others may require verification of computers for security purposes.;
, This is ideal if your PCs are located far from each other.


Flash drives are available at office supply stores, box stores and online for $5 to $50, depending on the size.
In place of a USB drive, you can opt to burn the files onto a CD or DVD; however, unless you buy expensive rewritable discs, burning a disc filled with files will write the disc permanently. With removable hard drives and flash drives, you can delete and reuse the drive.

, Double click on the removable drive when it pops up. You want it to be open in its own window.


Disable software that comes with the removable hard drive, if you want to use it for this purpose. Some hard drives come with software that helps you back up your computer.

, Navigate to the place where the files are located.


If your files are haphazardly organized, now is a good time to organize them into files of similar genre and file type. It is easier to transfer folders than individual files.

, This will allow you to click and drag the files from the computer to your drive.

, Alternatively, you can click on the file name and drag each item individually.

, A small dialog box may pop up to tell you that are files are being transferred. For large files, it will tell you how long it will take to copy files.

,, Close it out. Go to My Computer and right click to eject the removable drive.


Failure to eject the drive before removing it from the computer can result in the loss of some files.

, Double click the drive window when the computer detects it.

, You will want to arrange the folders side by side, just as you did before, to drag them onto your computer and into the correct location.


If you choose to drag them onto your desktop, you can reorganize them into other folders later. "
"
Sign into your ASUS WebStorage account.,
Go to the folder where the files to download are located.,
Select the files to download.,
Start downloading.",How to Upload and Download Files on ASUS Webstorage2," Open any web browser on your computer, and go to ASUS WebStorage’s website.


Click on the “Sign in” button found at the upper right side of the page, and you will be brought to the login page.
Enter your ID and password in their respective fields then click on the “Sign in” button to continue.

, Navigate through your main folders or directories by clicking on the folders on the left panel. You can also navigate through your files and folders by clicking on the individual folders.

, To select files, tick on the checkboxes in front of the files you want to download.

, You can download all the selected files at once through a zip file. ASUS WebStorage will compress and combine your files for easy downloading. To do this, click on the “Packing download” button from the header toolbar. Enter the name of the zip file then click on the “OK” button. Your zip file will start downloading to your computer.


If you want to download just a single file, you don’t need to compress it in a zip file. You can just download it directly by hovering over the file and clicking on the downward arrow icon from the taskbar that will appear. Your file will be downloaded as it is.

"
"
Open the Windows program manager.,
Find the ""Norton Antivirus"" entry.,
Choose whether or not to keep your preferences.,
Choose whether or not to keep Norton Identity Safe.,
Wait for uninstallation to complete.,
Restart your computer.,
Download the Norton Removal Tool.",How to Turn Off Norton Antivirus2," You can access this from the Control Panel, which can be found in your Start menu. Select ""Programs and Features"" or ""Add or Remove Programs"".


Windows 8 users can press ⊞ Win+X and select ""Programs and Features"".

, There may be several Norton entries, but focus on the Antivirus one first. Select it and then click Uninstall or Change/Remove.

, You will be asked if you want to keep your preferences (in case you want to reinstall) or remove all your data. If you're getting rid of Norton, choose to delete all the settings, preferences, and files.

, This is a password manager, which Norton would prefer you keep using. If you don't want to keep it, click ""No, thanks"".

, The uninstallation process may take a few minutes.

, You will need to reset your computer in order for the uninstallation to take effect. After rebooting your computer, Windows will inform you that you no longer have an antivirus installed.

, This is a program released by Symantec (Norton's developers) that will remove all traces of Norton software from your system. This is especially useful if Norton is not uninstalling correctly.


Download the Norton Removal Tool by searching for ""Norton Removal Tool"" in your favorite search engine. It should be the first result.
Run the removal tool. You will need to accept the license agreement and enter the Captcha to prove you're human.
Reboot your computer after the removal tool has finished.

"
"
Open Norton Internet Security.,
Start the uninstaller.,
Enter your administrator information.,
Restart your computer.,
Download the RemoveSymantecMacFiles utility.",How to Turn Off Norton Antivirus3," You can find this in the Applications folder.

, Click Norton Internet Security → Uninstall Norton Internet Security. Click Uninstall to confirm.

, You will need to provide this in order to delete the program.

, You will need to restart your Mac for the uninstallation to complete.

, This is a program provided by Symantec (Norton's developer) that removes all traces of Norton software from your Mac. This is important, because Norton tends to leave a lot of things behind after it is uninstalled.


Download the RemoveSymantecMacFiles utility by searching for ""RemoveSymantecMacFiles"" in your favorite search engine. It should be the first result.

Extract the ZIP file that is downloaded.
Run the RemoveSymantecMacFiles.command file. Click Open to confirm.
Enter your administrator password. No characters will appear as you type. You must have an administrator password; a blank administrator password will not work and is a bad security practice anyway.
Press 1 and then ⏎ Return to remove all Symantec files. Press 2 to exit.
Reboot your computer by pressing Y and then ⏎ Return


"
